Gene	Mycoplasma_meleagridis_210	Mycoplasma_meleagridis_24B8	Mycoplasma_meleagridis_25A3	Mycoplasma_meleagridis_25A4	Mycoplasma_meleagridis_26	Mycoplasma_meleagridis_26B8	Mycoplasma_meleagridis_26B9	Mycoplasma_meleagridis_ATCCC	Mycoplasma_meleagridis_B870
group_1506	0	1	0	0	1	1	1	1	1
tlyC	0	1	0	0	1	1	1	1	1
dnaB	0	1	0	0	1	1	1	1	1
group_1509	0	1	0	0	1	1	1	1	1
MCYN0678	0	1	0	0	1	1	1	1	1
group_1511	0	1	0	0	1	1	1	1	1
group_1512	0	1	0	0	1	1	1	1	1
group_1513	0	1	0	0	1	1	1	1	1
group_1514	0	1	0	0	1	1	1	1	1
group_1515	0	1	0	0	1	1	1	1	1
group_1516	0	1	0	0	1	1	1	1	1
group_1517	0	1	0	0	1	1	1	1	1
group_1518	0	1	0	0	1	1	1	1	1
group_1519	0	1	0	0	1	1	1	1	1
group_1520	0	1	0	0	1	1	1	1	1
group_1521	0	1	0	0	1	1	1	1	1
dnaE_1	0	1	0	0	1	1	1	1	1
polC_9	0	1	0	0	1	1	1	1	1
dnaE_2	0	1	0	0	1	1	1	1	1
potD_1	0	1	0	0	1	1	1	1	1
group_1526	0	1	0	0	1	1	1	1	1
potD_2	0	1	0	0	1	1	1	1	1
potC	0	1	0	0	1	1	1	1	1
group_1529	0	1	0	0	1	1	1	1	1
potB_2	0	1	0	0	1	1	1	1	1
potB_3	0	1	0	0	1	1	1	1	1
group_1532	0	1	0	0	1	1	1	1	1
potA	0	1	0	0	1	1	1	1	1
tlrC	0	1	0	0	1	1	1	1	1
group_1535	0	1	0	0	1	1	1	1	1
group_1536	0	1	0	0	1	1	1	1	1
group_1537	0	1	0	0	1	1	1	1	1
group_1538	0	1	0	0	1	1	1	1	1
group_1539	0	1	0	0	1	1	1	1	1
nadD	0	1	0	0	1	1	1	1	1
group_1541	0	1	0	0	1	1	1	1	1
mucB_1	0	1	0	0	1	1	1	1	1
mucB_2	0	1	0	0	1	1	1	1	1
nifU	0	1	0	0	1	1	1	1	1
nifS	0	1	0	0	1	1	1	1	1
rplM	0	1	0	0	1	1	1	1	1
rpsI	0	1	0	0	1	1	1	1	1
